,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,26.251632564214194,28.247048138056314,29.024943310657598,34.38666334909181,34.6435590494908,25.104214914312184,28.993839835728952,23.608584939978176
org.joinmastodon.android,75.0,100.0,50.0,73.07692307692307,73.59550561797754,67.72151898734177,79.32489451476793,69.56521739130434
com.mewe,30.357142857142854,36.92307692307693,12.903225806451612,29.82456140350877,24.615384615384617,15.555555555555555,35.9375,31.666666666666664
org.hiveinc.TheHive.android,0,0,0,0,0,0,71.74948944860449,84.72012102874432
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,33.33333333333333,20.0,26.31578947368421,17.543859649122805,30.0,23.684210526315788,40.476190476190474,47.61904761904761
counter.social.android,50.0,0.0,0.0,41.66666666666667,15.929203539823009,8.333333333333332,44.44444444444444,33.33333333333333
com.minds.mobile,33.33333333333333,100.0,50.0,75.0,100.0,0,50.0,100.0
com.truthsocial.android.app,20.481927710843372,22.11367673179396,33.61344537815126,50.0,41.42857142857143,57.27272727272727,58.71559633027523,57.49999999999999
com.vkontakte.android,46.15384615384615,43.75,47.88732394366197,47.91666666666667,53.06122448979592,38.775510204081634,44.44444444444444,38.0
