App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,222,262,231,502,668,431,550,610
org.joinmastodon.android,1,1,0,5,99,40,80,14
com.mewe,6,6,4,5,6,2,9,3
org.hiveinc.TheHive.android,0,0,0,0,0,0,321,184
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,1,10,2,5,1,2,3,2
counter.social.android,1,0,1,2,7,0,0,1
com.minds.mobile,0,1,1,1,0,0,0,0
com.truthsocial.android.app,20,245,31,36,25,22,24,21
com.vkontakte.android,9,12,8,4,4,7,4,3
