App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,565,492,521,1322,1732,1170,1338,1293
org.joinmastodon.android,0,0,1,10,115,39,61,16
com.mewe,16,16,10,8,10,4,10,7
org.hiveinc.TheHive.android,0,0,0,0,0,0,363,137
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,2,18,16,11,11,10,12,8
counter.social.android,0,0,0,1,12,0,1,2
com.minds.mobile,2,0,0,0,2,0,0,0
com.truthsocial.android.app,45,490,58,34,38,27,34,21
com.vkontakte.android,28,22,32,25,20,14,22,15
