,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,73.74836743578581,71.75295186194369,70.97505668934241,65.61333665090818,65.3564409505092,74.89578508568782,71.00616016427105,76.39141506002183
org.joinmastodon.android,25.0,0.0,50.0,26.923076923076923,26.40449438202247,32.278481012658226,20.675105485232066,30.434782608695656
com.mewe,69.64285714285714,63.07692307692307,87.09677419354838,70.17543859649122,75.38461538461539,84.44444444444444,64.0625,68.33333333333333
org.hiveinc.TheHive.android,0,0,0,0,0,0,28.250510551395507,15.279878971255673
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,66.66666666666666,80.0,73.68421052631578,82.45614035087719,70.0,76.31578947368422,59.523809523809526,52.38095238095239
counter.social.android,50.0,100.0,100.0,58.333333333333336,84.070796460177,91.66666666666666,55.55555555555556,66.66666666666666
com.minds.mobile,66.66666666666666,0.0,50.0,25.0,0.0,0,50.0,0.0
com.truthsocial.android.app,79.51807228915662,77.88632326820604,66.38655462184873,50.0,58.57142857142858,42.72727272727273,41.284403669724774,42.5
com.vkontakte.android,53.84615384615385,56.25,52.112676056338024,52.083333333333336,46.93877551020408,61.224489795918366,55.55555555555556,62.0
