App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,1510,1448,1453,2195,3197,2717,2982,3595
org.joinmastodon.android,3,1,1,11,142,79,96,39
com.mewe,34,43,48,44,49,39,45,50
org.hiveinc.TheHive.android,0,0,0,0,0,0,785,340
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,9,62,20,41,8,26,27,11
counter.social.android,1,2,2,9,94,12,8,6
com.minds.mobile,1,0,1,3,2,0,2,1
com.truthsocial.android.app,101,1517,149,78,77,61,51,38
com.vkontakte.android,28,30,31,19,25,28,28,32
