App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,2297,2202,2205,4019,5597,4318,4870,5498
org.joinmastodon.android,4,2,2,26,356,158,237,69
com.mewe,56,65,62,57,65,45,64,60
org.hiveinc.TheHive.android,0,0,0,0,0,0,1469,661
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,12,90,38,57,20,38,42,21
counter.social.android,2,2,3,12,113,12,9,9
com.minds.mobile,3,1,2,4,4,0,2,1
com.truthsocial.android.app,166,2252,238,148,140,110,109,80
com.vkontakte.android,65,64,71,48,49,49,54,50
