App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,3.971702220287331,3.8914623069936423,3.871201814058957,3.6431948245832295,3.596033589422905,3.9835572024085226,3.8188911704312116,4.02819206984358
org.joinmastodon.android,2.5,2.5,2.5,2.5384615384615383,2.146067415730337,2.411392405063291,2.0928270042194095,2.420289855072464
com.mewe,3.75,3.6923076923076925,4.435483870967742,3.912280701754386,4.076923076923077,4.288888888888889,3.71875,3.9
org.hiveinc.TheHive.android,0,0,0,0,0,0,2.5132743362831858,2.2027231467473527
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,3.5,4.155555555555556,3.9473684210526314,4.421052631578948,3.85,4.052631578947368,3.5714285714285716,3.5714285714285716
counter.social.android,3.5,5.0,5.0,3.5833333333333335,4.371681415929204,4.75,3.3333333333333335,3.6666666666666665
com.minds.mobile,3.6666666666666665,1.0,3.0,2.5,1.0,0,3.0,1.0
com.truthsocial.android.app,4.228915662650603,4.1341030195381885,3.69327731092437,3.0675675675675675,3.492857142857143,2.8454545454545452,2.7981651376146788,2.8625
com.vkontakte.android,3.276923076923077,3.234375,3.211267605633803,3.2708333333333335,3.061224489795918,3.4489795918367347,3.425925925925926,3.48
