,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,854,1542,1892,1307,826,817,866,1414
org.joinmastodon.android,34,20,70,27,18,16,10,10
com.mewe,9,10,14,13,10,19,23,26
org.hiveinc.TheHive.android,371,150,113,22,23,16,19,10
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,3,6,6,8,8,4,4,8
counter.social.android,0,3,3,0,0,0,0,0
com.minds.mobile,0,2,1,2,3,2,0,0
com.truthsocial.android.app,30,25,33,28,22,11,19,24
com.vkontakte.android,30,39,27,34,34,25,38,29
