,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,17.899811360301822,32.435843500210346,39.94932432432432,35.20064637759224,24.872026498042757,26.53458915232218,28.30065359477124,40.342368045649074
org.joinmastodon.android,66.66666666666666,62.5,51.470588235294116,67.5,72.0,66.66666666666666,66.66666666666666,62.5
com.mewe,14.754098360655737,16.94915254237288,26.41509433962264,26.53061224489796,23.25581395348837,39.58333333333333,40.35087719298245,41.935483870967744
org.hiveinc.TheHive.android,95.61855670103093,99.33774834437085,67.66467065868264,81.48148148148148,82.14285714285714,76.19047619047619,95.0,71.42857142857143
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,30.0,24.0,46.15384615384615,42.10526315789473,33.33333333333333,50.0,50.0,33.33333333333333
counter.social.android,0,50.0,50.0,0,0.0,0.0,0,0
com.minds.mobile,0,66.66666666666666,2.7777777777777777,5.405405405405405,16.666666666666664,11.11111111111111,0.0,0.0
com.truthsocial.android.app,44.776119402985074,54.347826086956516,55.932203389830505,57.14285714285714,56.41025641025641,39.285714285714285,51.35135135135135,61.53846153846154
com.vkontakte.android,48.38709677419355,48.148148148148145,41.53846153846154,47.88732394366197,48.57142857142857,55.55555555555556,50.66666666666667,51.78571428571429
