App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,411,737,780,518,322,289,348,615
org.joinmastodon.android,11,5,29,11,9,7,2,5
com.mewe,3,1,7,7,4,6,3,13
org.hiveinc.TheHive.android,119,46,41,8,11,3,6,7
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,2,3,5,2,5,2,5,3
counter.social.android,0,2,0,0,1,0,0,0
com.minds.mobile,0,1,0,3,4,0,0,2
com.truthsocial.android.app,14,8,15,8,11,2,5,10
com.vkontakte.android,11,8,7,12,8,7,6,4
