App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,1067,1258,1337,1019,857,775,711,825
org.joinmastodon.android,11,7,32,9,8,5,5,5
com.mewe,19,13,6,9,14,10,11,13
org.hiveinc.TheHive.android,80,49,40,8,7,5,5,1
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,3,4,0,4,8,1,2,4
counter.social.android,0,1,1,0,0,1,0,0
com.minds.mobile,0,0,4,3,3,5,1,1
com.truthsocial.android.app,15,17,16,18,5,9,12,9
com.vkontakte.android,21,40,24,26,27,14,39,24
