,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,82.10018863969817,67.56415649978965,60.05067567567568,64.79935362240775,75.12797350195724,73.46541084767782,71.69934640522875,59.65763195435093
org.joinmastodon.android,33.33333333333333,37.5,48.529411764705884,32.5,28.000000000000004,33.33333333333333,33.33333333333333,37.5
com.mewe,85.24590163934425,83.05084745762711,73.58490566037736,73.46938775510205,76.74418604651163,60.416666666666664,59.64912280701754,58.06451612903226
org.hiveinc.TheHive.android,4.381443298969072,0.6622516556291391,32.33532934131736,18.51851851851852,17.857142857142858,23.809523809523807,5.0,28.57142857142857
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,70.0,76.0,53.84615384615385,57.89473684210527,66.66666666666666,50.0,50.0,66.66666666666666
counter.social.android,0,50.0,50.0,0,100.0,100.0,0,0
com.minds.mobile,0,33.33333333333333,97.22222222222221,94.5945945945946,83.33333333333334,88.88888888888889,100.0,100.0
com.truthsocial.android.app,55.223880597014926,45.65217391304348,44.06779661016949,42.857142857142854,43.58974358974359,60.71428571428571,48.64864864864865,38.46153846153847
com.vkontakte.android,51.61290322580645,51.85185185185185,58.46153846153847,52.112676056338024,51.42857142857142,44.44444444444444,49.333333333333336,48.214285714285715
