App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,3293,2759,2619,2176,2142,2015,2001,2065
org.joinmastodon.android,29,20,75,20,8,12,8,6
com.mewe,39,45,40,33,25,32,43,36
org.hiveinc.TheHive.android,189,56,86,11,10,13,9,6
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,5,18,8,13,11,5,1,17
counter.social.android,0,3,5,0,13,1,0,0
com.minds.mobile,0,2,32,31,11,13,7,10
com.truthsocial.android.app,38,21,28,23,23,17,20,20
com.vkontakte.android,30,33,34,33,35,24,30,28
