App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,69.02116956612869,58.035338662179214,55.29983108108109,58.60490169674119,64.49864498644986,65.4433257551153,65.3921568627451,58.91583452211127
org.joinmastodon.android,56.86274509803921,62.5,55.14705882352941,50.0,32.0,50.0,53.333333333333336,37.5
com.mewe,63.934426229508205,76.27118644067797,75.47169811320755,67.3469387755102,58.139534883720934,66.66666666666666,75.43859649122807,58.06451612903226
org.hiveinc.TheHive.android,48.71134020618557,37.086092715231786,51.49700598802395,40.74074074074074,35.714285714285715,61.904761904761905,45.0,42.857142857142854
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,50.0,72.0,61.53846153846154,68.42105263157895,45.83333333333333,62.5,12.5,70.83333333333334
counter.social.android,0,50.0,83.33333333333334,0,92.85714285714286,50.0,0,0
com.minds.mobile,0,66.66666666666666,88.88888888888889,83.78378378378379,61.111111111111114,72.22222222222221,87.5,76.92307692307693
com.truthsocial.android.app,56.71641791044776,45.65217391304348,47.45762711864407,46.93877551020408,58.97435897435898,60.71428571428571,54.054054054054056,51.28205128205128
com.vkontakte.android,48.38709677419355,40.74074074074074,52.307692307692314,46.478873239436616,50.0,53.333333333333336,40.0,50.0
