App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,4771,4754,4736,3713,3321,3079,3060,3505
org.joinmastodon.android,51,32,136,40,25,24,15,16
com.mewe,61,59,53,49,43,48,57,62
org.hiveinc.TheHive.android,388,151,167,27,28,21,20,14
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,10,25,13,19,24,8,8,24
counter.social.android,0,6,6,0,14,2,0,0
com.minds.mobile,0,3,36,37,18,18,8,13
com.truthsocial.android.app,67,46,59,49,39,28,37,39
com.vkontakte.android,62,81,65,71,70,45,75,56
