App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,4.256759589184657,3.676062263357173,3.422508445945946,3.619983840560194,3.9966877446552243,3.944462487820721,3.858169934640523,3.4302425106990015
org.joinmastodon.android,2.5098039215686274,2.6875,2.985294117647059,2.6,2.4,2.5833333333333335,2.6666666666666665,2.875
com.mewe,4.344262295081967,4.389830508474576,4.0,4.081632653061225,4.0,3.5833333333333335,3.4210526315789473,3.370967741935484
org.hiveinc.TheHive.android,1.4871134020618557,1.3112582781456954,2.4491017964071857,1.962962962962963,1.8928571428571428,2.0952380952380953,1.6,2.2142857142857144
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,3.9,4.16,3.0,3.526315789473684,3.875,3.125,3.0,3.75
counter.social.android,0,2.8333333333333335,3.3333333333333335,0,5.0,5.0,0,0
com.minds.mobile,0,2.3333333333333335,4.777777777777778,4.72972972972973,4.277777777777778,4.555555555555555,4.5,4.769230769230769
com.truthsocial.android.app,3.298507462686567,2.9347826086956523,2.76271186440678,2.9183673469387754,2.8461538461538463,3.4642857142857144,3.1621621621621623,2.7948717948717947
com.vkontakte.android,3.096774193548387,3.111111111111111,3.5076923076923077,3.1971830985915495,3.1857142857142855,2.977777777777778,3.1866666666666665,3.3035714285714284
