,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,0,0,0,0,0,0,0,0
org.joinmastodon.android,0,0,0,0,0,0,0,0
com.mewe,0,0,0,0,0,0,0,0
org.hiveinc.TheHive.android,0,0,0,0,0,0,0,0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,0,0,0,0,0,0,0,0
counter.social.android,0,0,0,0,0,0,0,0
com.minds.mobile,0,0,0,0,0,0,0,0
com.truthsocial.android.app,0,0,0,0,0,0,0,0
com.vkontakte.android,0,0,0,0,0,0,0,0
