App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,38,44,45,63,98,99,124,110
org.joinmastodon.android,0,0,0,1,6,4,5,1
com.mewe,2,1,2,2,1,1,2,0
org.hiveinc.TheHive.android,0,0,0,0,0,0,30,11
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,1,5,0,3,0,1,0,0
counter.social.android,0,0,1,1,2,0,0,0
com.minds.mobile,0,0,0,0,0,0,0,0
com.truthsocial.android.app,3,69,6,6,3,1,3,1
com.vkontakte.android,0,1,0,0,0,0,0,1
