App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,335,288,282,738,915,713,743,875
org.joinmastodon.android,0,0,0,2,16,7,7,2
com.mewe,9,8,7,4,6,2,4,2
org.hiveinc.TheHive.android,0,0,0,0,0,0,58,7
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,0,12,10,7,7,7,5,5
counter.social.android,0,0,0,0,5,0,0,0
com.minds.mobile,1,0,0,0,0,0,0,0
com.truthsocial.android.app,36,317,33,9,15,7,7,9
com.vkontakte.android,13,12,14,9,4,5,6,5
