,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,1694,1580,1565,2637,3658,3234,3458,4200
org.joinmastodon.android,1,0,1,7,94,51,49,21
com.mewe,39,41,54,40,49,38,41,41
org.hiveinc.TheHive.android,0,0,0,0,0,0,415,101
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,8,72,28,47,14,29,25,11
counter.social.android,1,2,3,7,95,11,5,6
com.minds.mobile,2,0,1,1,0,0,1,0
com.truthsocial.android.app,132,1754,158,74,82,47,45,34
com.vkontakte.android,35,36,37,25,23,30,30,31
