App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,1321,1248,1238,1836,2645,2422,2591,3215
org.joinmastodon.android,1,0,1,4,72,40,37,18
com.mewe,28,32,45,34,42,35,35,39
org.hiveinc.TheHive.android,0,0,0,0,0,0,327,83
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,7,55,18,37,7,21,20,6
counter.social.android,1,2,2,6,88,11,5,6
com.minds.mobile,1,0,1,1,0,0,1,0
com.truthsocial.android.app,93,1368,119,59,64,39,35,24
com.vkontakte.android,22,23,23,16,19,25,24,25
