App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,77.98110979929162,78.9873417721519,79.10543130990415,69.6245733788396,72.30727173318753,74.89177489177489,74.9277038750723,76.54761904761904
org.joinmastodon.android,100.0,0,100.0,57.14285714285714,76.59574468085107,78.43137254901961,75.51020408163265,85.71428571428571
com.mewe,71.7948717948718,78.04878048780488,83.33333333333334,85.0,85.71428571428571,92.10526315789474,85.36585365853658,95.1219512195122
org.hiveinc.TheHive.android,0,0,0,0,0,0,78.79518072289157,82.17821782178217
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,87.5,76.38888888888889,64.28571428571429,78.72340425531915,50.0,72.41379310344827,80.0,54.54545454545454
counter.social.android,100.0,100.0,66.66666666666666,85.71428571428571,92.63157894736842,100.0,100.0,100.0
com.minds.mobile,50.0,0,100.0,100.0,0,0,100.0,0
com.truthsocial.android.app,70.45454545454545,77.99315849486888,75.31645569620254,79.72972972972973,78.04878048780488,82.97872340425532,77.77777777777779,70.58823529411765
com.vkontakte.android,62.857142857142854,63.888888888888886,62.16216216216216,64.0,82.6086956521739,83.33333333333334,80.0,80.64516129032258
