App,"Oct 06, 2022 - Oct 12, 2022","Oct 13, 2022 - Oct 19, 2022","Oct 20, 2022 - Oct 26, 2022","Oct 27, 2022 - Nov 02, 2022","Nov 03, 2022 - Nov 09, 2022","Nov 10, 2022 - Nov 16, 2022","Nov 17, 2022 - Nov 23, 2022","Nov 24, 2022 - Nov 30, 2022"
com.twitter.android,4.82172373081464,4.826582278481013,4.83258785942492,4.877133105802048,4.870147621651175,4.87012987012987,4.879699248120301,4.889047619047619
org.joinmastodon.android,4.0,0,4.0,4.714285714285714,4.702127659574468,4.607843137254902,4.755102040816326,4.809523809523809
com.mewe,4.743589743589744,4.829268292682927,4.888888888888889,4.85,4.836734693877551,4.7894736842105265,4.780487804878049,4.780487804878049
org.hiveinc.TheHive.android,0,0,0,0,0,0,4.549397590361446,4.415841584158416
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,4.75,4.736111111111111,4.785714285714286,4.8936170212765955,4.928571428571429,4.862068965517241,4.8,4.909090909090909
counter.social.android,5.0,5.0,5.0,5.0,4.947368421052632,4.909090909090909,5.0,5.0
com.minds.mobile,5.0,0,5.0,5.0,0,0,5.0,0
com.truthsocial.android.app,4.992424242424242,4.978335233751426,4.974683544303797,4.95945945945946,4.926829268292683,4.9361702127659575,4.888888888888889,4.9411764705882355
com.vkontakte.android,4.885714285714286,4.888888888888889,4.918918918918919,4.92,4.869565217391305,4.9,4.9,4.870967741935484
