App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,114,99,97,81,93,57,68,59
org.joinmastodon.android,3,0,6,0,1,0,0,0
com.mewe,1,0,2,2,3,2,1,2
org.hiveinc.TheHive.android,1,0,6,0,0,0,0,1
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,1,2,1,0,0,0,1,1
counter.social.android,0,0,0,0,1,0,0,0
com.minds.mobile,0,0,0,3,1,0,0,2
com.truthsocial.android.app,5,1,1,0,1,0,1,1
com.vkontakte.android,0,0,2,1,0,0,2,0
