App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,781,679,632,534,516,449,417,401
org.joinmastodon.android,0,2,11,2,1,0,0,4
com.mewe,14,7,2,8,7,6,4,6
org.hiveinc.TheHive.android,1,0,5,1,2,0,0,0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,1,2,0,4,6,0,2,2
counter.social.android,0,0,0,0,0,1,0,0
com.minds.mobile,0,0,4,2,3,5,1,1
com.truthsocial.android.app,7,6,9,7,1,2,3,1
com.vkontakte.android,7,15,8,9,7,9,11,5
