App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,19.93872861884095,21.13947696139477,22.22222222222222,22.194513715710723,20.681362725450903,19.849690539345712,19.006381039197812,19.17742706838833
org.joinmastodon.android,0.0,16.666666666666664,16.666666666666664,15.384615384615385,14.285714285714285,0.0,0.0,66.66666666666666
com.mewe,26.923076923076923,14.285714285714285,5.128205128205128,22.22222222222222,21.21212121212121,20.689655172413794,11.76470588235294,16.666666666666664
org.hiveinc.TheHive.android,5.88235294117647,0.0,9.25925925925926,20.0,40.0,0.0,0.0,0.0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,14.285714285714285,10.526315789473683,0.0,36.36363636363637,37.5,0.0,50.0,12.5
counter.social.android,0,0.0,0.0,0,0.0,50.0,0,0
com.minds.mobile,0,0.0,11.428571428571429,5.714285714285714,20.0,31.25,12.5,7.6923076923076925
com.truthsocial.android.app,18.91891891891892,28.57142857142857,34.61538461538461,33.33333333333333,5.88235294117647,11.76470588235294,16.666666666666664,6.666666666666667
com.vkontakte.android,21.875,35.714285714285715,21.052631578947366,24.324324324324326,19.444444444444446,45.0,29.72972972972973,18.51851851851852
