,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
org.joinmastodon.android,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
com.mewe,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
org.hiveinc.TheHive.android,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
counter.social.android,0,100.0,100.0,0,100.0,100.0,0,0
com.minds.mobile,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
com.truthsocial.android.app,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
com.vkontakte.android,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
