App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,3022,2434,2115,1791,1886,1756,1709,1631
org.joinmastodon.android,14,10,49,11,5,8,5,2
com.mewe,37,42,35,26,23,21,29,28
org.hiveinc.TheHive.android,15,1,43,4,3,5,1,3
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,5,15,6,7,10,4,1,13
counter.social.android,0,3,3,0,13,1,0,0
com.minds.mobile,0,1,31,30,11,11,7,10
com.truthsocial.android.app,25,14,16,14,15,15,14,13
com.vkontakte.android,25,27,28,27,29,11,24,22
