App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,3917,3212,2844,2406,2495,2262,2194,2091
org.joinmastodon.android,17,12,66,13,7,8,5,6
com.mewe,52,49,39,36,33,29,34,36
org.hiveinc.TheHive.android,17,1,54,5,5,5,1,4
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,7,19,7,11,16,4,4,16
counter.social.android,0,3,3,0,14,2,0,0
com.minds.mobile,0,1,35,35,15,16,8,13
com.truthsocial.android.app,37,21,26,21,17,17,18,15
com.vkontakte.android,32,42,38,37,36,20,37,27
