App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,4.876946642838908,4.865815691158157,4.8667369901547115,4.842477140482128,4.851703406813627,4.8452696728558795,4.838650865998177,4.84026781444285
org.joinmastodon.android,4.588235294117647,4.416666666666667,4.757575757575758,4.769230769230769,4.714285714285714,4.625,5.0,4.5
com.mewe,4.846153846153846,4.857142857142857,4.769230769230769,4.916666666666667,4.696969696969697,4.689655172413793,4.647058823529412,4.722222222222222
org.hiveinc.TheHive.android,4.411764705882353,4.0,4.537037037037037,4.2,4.4,4.6,4.0,4.25
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,4.857142857142857,4.842105263157895,4.285714285714286,4.545454545454546,4.8125,4.75,4.5,4.8125
counter.social.android,0,4.666666666666667,5.0,0,5.0,5.0,0,0
com.minds.mobile,0,5.0,4.828571428571428,4.857142857142857,4.866666666666666,4.9375,4.5,4.769230769230769
com.truthsocial.android.app,4.864864864864865,4.904761904761905,4.8076923076923075,4.904761904761905,4.9411764705882355,4.9411764705882355,4.944444444444445,4.8
com.vkontakte.android,4.875,4.904761904761905,4.894736842105263,4.972972972972973,4.916666666666667,4.85,4.918918918918919,4.962962962962963
