App,"Dec 01, 2022 - Dec 07, 2022","Dec 08, 2022 - Dec 14, 2022","Dec 15, 2022 - Dec 21, 2022","Dec 22, 2022 - Dec 28, 2022","Dec 29, 2022 - Jan 04, 2023","Jan 05, 2023 - Jan 11, 2023","Jan 12, 2023 - Jan 18, 2023","Jan 19, 2023 - Jan 25, 2023"
com.twitter.android,5.411794740873117,5.504981320049813,5.015119549929676,4.807148794679967,4.562725450901803,4.480106100795756,4.35278030993619,4.368723098995696
org.joinmastodon.android,18.764705882352942,15.25,11.621212121212121,11.461538461538462,10.714285714285714,5.375,6.2,8.333333333333334
com.mewe,6.903846153846154,5.673469387755102,6.948717948717949,7.0,5.636363636363637,4.241379310344827,6.147058823529412,5.75
org.hiveinc.TheHive.android,21.41176470588235,12.0,18.944444444444443,22.8,17.4,11.0,11.0,24.0
xyz.blueskyweb.app,0,0,0,0,0,0,0,0
com.gettr.gettr,2.142857142857143,5.315789473684211,12.285714285714286,11.727272727272727,8.25,8.25,5.0,9.0
counter.social.android,0,25.666666666666668,10.0,0,19.714285714285715,4.5,0,0
com.minds.mobile,0,7.0,8.485714285714286,6.742857142857143,6.533333333333333,6.0625,8.0,9.153846153846153
com.truthsocial.android.app,9.45945945945946,8.0,7.5,6.380952380952381,9.058823529411764,7.352941176470588,8.944444444444445,13.4
com.vkontakte.android,2.375,2.4285714285714284,2.8684210526315788,2.864864864864865,2.9444444444444446,4.45,4.675675675675675,2.1481481481481484
